timestamp,host,ip,port,status,latency_ms
2026-06-11T20:16:23.622406105+02:00,127.0.0.1,127.0.0.1,8080,ok,0.662
2026-06-11T20:16:24.622567724+02:00,127.0.0.1,127.0.0.1,8080,ok,0.207
2026-06-11T20:16:25.622638148+02:00,127.0.0.1,127.0.0.1,8080,ok,0.524
2026-06-11T20:16:26.622682824+02:00,127.0.0.1,127.0.0.1,8080,ok,0.462
2026-06-11T20:16:27.623719046+02:00,127.0.0.1,127.0.0.1,8080,ok,0.398
2026-06-11T20:16:28.624572204+02:00,127.0.0.1,127.0.0.1,8080,ok,0.207
2026-06-11T20:16:29.624993143+02:00,127.0.0.1,127.0.0.1,8080,ok,0.186
2026-06-11T20:16:30.625133939+02:00,127.0.0.1,127.0.0.1,8080,ok,0.447
2026-06-11T20:16:31.62620846+02:00,127.0.0.1,127.0.0.1,8080,ok,0.213
2026-06-11T20:16:32.626474717+02:00,127.0.0.1,127.0.0.1,8080,ok,0.314
2026-06-11T20:16:33.626668122+02:00,127.0.0.1,127.0.0.1,8080,ok,0.564
2026-06-11T20:16:34.627604532+02:00,127.0.0.1,127.0.0.1,8080,ok,0.456
2026-06-11T20:16:35.627728564+02:00,127.0.0.1,127.0.0.1,8080,ok,0.301
2026-06-11T20:16:36.628129374+02:00,127.0.0.1,127.0.0.1,8080,ok,0.253
2026-06-11T20:16:37.628412451+02:00,127.0.0.1,127.0.0.1,8080,ok,0.295
2026-06-11T20:16:38.628715257+02:00,127.0.0.1,127.0.0.1,8080,ok,0.318
2026-06-11T20:16:39.629048891+02:00,127.0.0.1,127.0.0.1,8080,ok,0.332
2026-06-11T20:16:40.62971287+02:00,127.0.0.1,127.0.0.1,8080,ok,0.314
2026-06-11T20:16:41.630249005+02:00,127.0.0.1,127.0.0.1,8080,ok,0.385
2026-06-11T20:16:42.63060694+02:00,127.0.0.1,127.0.0.1,8080,ok,0.394
2026-06-11T20:16:43.630655576+02:00,127.0.0.1,127.0.0.1,8080,ok,0.399
2026-06-11T20:16:44.6308311+02:00,127.0.0.1,127.0.0.1,8080,ok,0.401
2026-06-11T20:16:45.631733329+02:00,127.0.0.1,127.0.0.1,8080,ok,0.487
2026-06-11T20:16:46.63221497+02:00,127.0.0.1,127.0.0.1,8080,ok,0.331
2026-06-11T20:16:47.632541755+02:00,127.0.0.1,127.0.0.1,8080,ok,0.213
2026-06-11T20:16:48.632684119+02:00,127.0.0.1,127.0.0.1,8080,ok,0.155
2026-06-11T20:16:49.632913757+02:00,127.0.0.1,127.0.0.1,8080,ok,0.299
2026-06-11T20:16:50.6332282+02:00,127.0.0.1,127.0.0.1,8080,ok,0.331
2026-06-11T20:16:51.633883485+02:00,127.0.0.1,127.0.0.1,8080,ok,0.317
2026-06-11T20:16:52.634448435+02:00,127.0.0.1,127.0.0.1,8080,ok,0.325
2026-06-11T20:16:53.634750214+02:00,127.0.0.1,127.0.0.1,8080,ok,0.278
2026-06-11T20:16:54.634829269+02:00,127.0.0.1,127.0.0.1,8080,ok,0.125
2026-06-11T20:16:55.635650551+02:00,127.0.0.1,127.0.0.1,8080,ok,0.245
2026-06-11T20:16:56.635907858+02:00,127.0.0.1,127.0.0.1,8080,ok,0.118
2026-06-11T20:16:57.636103142+02:00,127.0.0.1,127.0.0.1,8080,ok,0.388
